Ticker,PER,Forward_PER,PBR,PSR,EV_EBITDA,ROE,Profit_Margin,Oper_Margin,Rev_Growth,EPS_Growth,Sector
PFG,13.239003,9.621461,1.706773,1.2729586,8.238,0.13767,0.099580005,0.06856,0.222,,Financial Services
TPR,101.780304,21.526829,69.18126,3.8584855,18.83,0.16053,0.03765,0.21213,0.131,0.62,Consumer Cyclical
UAL,11.755511,8.9986925,2.6543586,0.65070397,6.927,0.25588,0.05643,0.0888,0.026,0.0,Industrials
PGR,11.809002,13.397344,3.5571868,1.4809524,9.322,0.34223998,0.12579,0.15079,0.142,0.121,Financial Services
APA,6.0287085,9.3133955,1.5025042,0.96162754,2.393,0.27427998,0.16093999,0.27281,-0.164,,Energy
MAR,34.618145,28.753214,-28.345137,12.959998,22.669,,0.37984002,0.65933996,0.056,0.29,Consumer Cyclical
SNDK,,17.016071,5.914034,7.109337,104.391,-0.16181,-0.22365,0.08319,0.226,-0.485,Technology
POOL,22.997265,21.777018,6.8222504,1.7781267,16.73,0.29307,0.07784,0.122650005,0.013,0.04,Industrials
PEG,18.913462,17.750465,2.3082793,3.3515477,14.084,0.12579,0.17768,0.2703,0.221,0.192,Utilities
LULU,14.189283,16.137035,5.3400726,2.1836612,8.395,0.41017,0.15720001,0.16988,0.071,-0.097,Consumer Cyclical
MO,10.979008,10.290028,-36.503807,4.7924285,9.427,,0.4398,0.62826,-0.017,0.052,Consumer Defensive
PNR,26.223917,19.151897,4.4587693,4.092325,17.055,0.17966999,0.15844,0.23982,0.029,0.333,Industrials
A,32.498905,22.648323,6.236406,6.060087,22.423,0.20618999,0.18754,0.26384002,0.094,0.245,Healthcare
EQR,19.881578,41.739178,2.0781186,7.725955,17.064,0.10444,0.37583,0.28955,0.046,1.009,Real Estate
MAS,17.728899,16.49251,-184.36171,1.9103707,11.926,5.6387095,0.10885999,0.15806,-0.033,0.169,Industrials
PTC,28.257002,19.683043,5.3584933,7.479399,19.515,0.2085,0.26795998,0.50643003,0.427,1.748,Technology
FSLR,18.316195,10.150605,2.840751,5.0706916,12.118,0.16864,0.27728,0.29225,0.797,0.457,Technology
JBHT,35.84922,28.982037,5.5142355,1.6618171,13.749,0.15126,0.04753,0.07948,-0.005,0.181,Industrials
CBOE,28.089344,23.663334,5.58959,5.9134192,18.306,0.21621001,0.21287,0.32846,0.081,0.377,Financial Services
PSKY,402.00003,11.502585,1.1029816,0.46312517,9.7,0.01279,-0.00947,0.10012,-0.004,,Communication Services
ROP,29.945591,20.122557,2.3409352,6.061628,18.335,0.081549995,0.20337,0.28401,0.143,0.082,Technology
KR,52.663715,11.212921,4.82331,0.267862,8.089,0.07997,0.0053600003,0.03101,0.007,,Consumer Defensive
SNA,19.01155,17.65535,3.2365794,3.6931636,13.363,0.18330999,0.19827999,0.25257,0.036,0.068,Industrials
CL,22.82353,21.221292,76.72317,3.2767992,15.172,2.93635,0.1447,0.2023,0.019,0.011,Consumer Defensive
INTC,759.1667,76.78562,2.0407705,4.065822,23.306,0.0018600001,0.0037099998,0.06284,0.028,,Technology
MRK,14.62037,14.824263,5.3024707,4.2979684,9.439,0.39485002,0.29632,0.40802,0.037,0.87,Healthcare
ROST,29.959312,26.770594,10.533151,2.8265462,20.234,0.37425,0.0947,0.11578,0.104,0.068,Consumer Cyclical
EQT,16.641695,11.987781,1.3771632,4.1359873,8.349,0.08488,0.23097,0.34897,0.514,,Energy
DLR,41.18182,43.86062,2.4397187,9.492435,27.654,0.05825,0.23959999,0.13333,0.111,0.603,Real Estate
DE,26.382702,21.687239,5.084908,2.8929389,22.029,0.20427999,0.11017,0.12385,0.126,-0.137,Industrials
TT,29.249043,25.707825,10.177038,4.0346065,20.953,0.3721,0.13926,0.20219,0.055,0.114,Industrials
ITW,24.744905,22.596207,23.07108,4.682206,17.86,0.91683,0.19052,0.27667,0.023,-0.281,Industrials
NFLX,37.26533,27.591686,14.601926,8.736359,29.826,0.42861,0.24047,0.28219998,0.172,0.087,Communication Services
AEE,19.213463,18.677944,2.1146765,3.1297219,13.328,0.11387,0.1634,0.34,0.248,0.382,Utilities
MTB,13.074737,11.341182,1.2419984,3.6430707,,0.09628,0.3054,0.43886003,0.08,0.199,Financial Services
MDLZ,20.632957,17.500334,2.7153983,1.8935704,16.326,0.13101,0.0938,0.10837,0.059,-0.095,Consumer Defensive
V,34.25759,24.254278,18.046125,16.875504,24.168,0.52068,0.50145,0.6575,0.115,-0.014,Financial Services
LVS,26.554054,18.537735,25.442383,3.299612,12.367,0.65651,0.12687999,0.23627001,0.242,0.619,Consumer Cyclical
ORCL,37.31579,24.961304,19.042686,9.347938,25.997,0.69026,0.25280002,0.31997,0.142,0.909,Technology
OKE,13.36397,12.211879,2.0737064,1.4504898,10.621,0.17847,0.105790004,0.18160999,0.719,0.262,Energy
NCLH,17.647482,9.251786,5.0923815,1.1521691,10.361,0.39870998,0.06846,0.25507998,0.047,-0.096,Consumer Cyclical
CVS,211.3158,11.205585,1.39837,0.26024517,11.702,0.0057800002,0.0011999999,0.022650002,0.078,,Healthcare
SCHW,23.459017,17.605621,4.1991196,7.9353456,,0.17046,0.35930002,0.49242002,0.266,0.775,Financial Services
RJF,16.282524,12.40845,2.6746728,2.3630168,,0.17666,0.15234,0.20146,0.07,0.035,Financial Services
EXPD,25.920065,26.672644,9.337682,1.9309438,17.807,0.36505002,0.07571,0.0995,-0.035,0.006,Industrials
FE,19.413044,16.426434,2.0153465,1.8058369,11.741,0.11192001,0.09312,0.20636,0.112,0.045,Utilities
FOX,14.925843,13.191658,2.4197602,1.8986292,9.196,0.17272,0.12353,0.26323998,0.049,-0.258,Communication Services
GOOGL,32.467392,29.175543,10.257235,10.324066,26.937,0.3545,0.32233003,0.30512,0.159,0.353,Communication Services
MA,36.77572,30.11282,65.543785,16.530945,26.779,1.8486099,0.45275003,0.598,0.167,0.229,Financial Services
MCD,26.244236,23.203,-101.19197,8.350019,19.052,,0.3204,0.46905997,0.03,0.016,Consumer Cyclical
AME,33.223972,26.368101,4.606368,6.7903833,22.407,0.14632,0.20502001,0.25787002,0.108,0.088,Industrials
CAT,31.737925,27.588676,13.991345,4.47406,23.208,0.46283,0.14339,0.17746,0.095,-0.036,Industrials
GNRC,29.15649,18.638071,3.3913429,2.0599349,14.852,0.11969,0.06921,0.0925,-0.05,-0.407,Industrials
GWW,28.90317,23.47176,13.772801,2.7751324,17.317,0.46719003,0.09746,0.15180999,0.061,-0.38,Industrials
APP,76.29211,46.454918,148.76434,34.73531,56.401,2.41886,0.44879,0.76795,0.682,0.959,Communication Services
IBM,36.216667,24.905525,10.1906,4.347958,22.348,0.30156,0.120900005,0.1717,0.091,,Technology
ZBRA,26.183655,14.6365185,3.5135612,2.5106187,14.838,0.14286,0.09743,0.14621,0.052,-0.254,Technology
NTAP,18.360628,12.327556,21.162651,3.1697726,12.092,1.25346,0.17733999,0.24751,0.028,0.063,Technology
VLTO,28.145206,24.607346,8.959533,4.678574,19.736,0.37978,0.16746001,0.23219,0.068,0.08,Industrials
BRK.B,,,,,,,,,,,Unknown
MMC,22.330132,18.033678,6.015069,3.456961,14.262,0.28734,0.15601,0.19240999,0.115,0.0,Financial Services
XOM,18.111917,17.787022,2.0168,1.6283568,9.1,0.11424,0.091809995,0.11057,-0.051,-0.083,Energy
JPM,16.312685,15.659808,2.6344264,5.412886,,0.16437,0.347,0.43708,0.088,0.16,Financial Services
CVX,22.76826,22.051102,1.7193798,1.73103,9.712,0.07316,0.06767,0.098529994,-0.014,-0.266,Energy
WAB,32.571842,21.963095,3.4715216,3.5573678,18.747,0.11147001,0.10941,0.18468,0.084,0.11,Industrials
DOW,,-90.7149,1.066899,0.457422,9.901,-0.05287,-0.02769,0.01905,-0.083,-0.733,Basic Materials
CDNS,84.14139,40.64665,17.136648,17.110128,47.083,0.21736,0.20354,0.35089,0.101,0.207,Technology
MDT,26.430893,15.959404,2.5698926,3.5989857,15.252,0.09822,0.13706,0.20299,0.066,0.081,Healthcare
VRSK,34.595383,29.20602,83.19274,10.370592,22.905,2.68133,0.30418,0.45529,0.059,0.045,Industrials
EL,,38.775074,10.535434,2.8370326,23.256,-0.20727,-0.064380005,0.072680004,0.036,,Consumer Defensive
DLTR,25.07197,19.688683,7.6679797,1.4240497,15.604,0.20066999,-0.15397,0.06725,0.094,0.106,Consumer Defensive
NWSA,31.891565,22.280394,1.7148224,1.8176197,14.105,0.070250005,0.138,0.10448,0.023,-0.052,Communication Services
PAYX,25.681715,19.235386,10.525488,6.7683797,15.468,0.40884998,0.26446,0.41667,0.183,-0.035,Technology
CRM,34.70494,19.831575,4.0796022,6.137929,20.666,0.12184,0.17913,0.23862,0.086,0.386,Technology
ARES,74.22363,26.957487,12.8626795,10.76124,42.048,0.17087999,0.12145001,0.24098,0.467,1.088,Financial Services
CCL,15.905941,11.365325,3.4315925,1.5834484,9.429,0.25632998,0.10366999,0.115959994,0.066,0.343,Consumer Cyclical
TTWO,,31.497063,13.492816,7.4480143,62.098,-0.86609,-0.64265,-0.054970004,0.311,,Communication Services
CNP,23.981012,19.857346,2.2417464,2.7141955,13.52,0.09606,0.11367,0.2495,0.071,0.506,Utilities
SYY,19.91421,14.701255,17.198425,0.43359825,11.06,0.8346,0.02211,0.041750003,0.032,0.0,Consumer Defensive
PYPL,11.578313,9.957328,2.6863585,1.6763167,8.364,0.24358,0.14963001,0.19198999,0.073,0.313,Financial Services
FDX,17.305264,14.742695,2.608543,0.81807727,,0.15886,0.04814,0.0764,0.139,-0.133,Industrials
BX,45.293102,24.553696,14.700615,15.120453,,0.26457,0.2117,0.44629002,-0.196,-0.214,Financial Services
CTAS,41.800865,35.743896,17.332615,7.2086945,28.172,0.43396,0.17584999,0.23417999,0.093,0.11,Industrials
ABBV,166.72726,15.450781,-147.21071,6.5214605,15.319,1.37961,0.04004,0.35497,0.091,-0.887,Healthcare
AIG,13.566547,9.603375,0.9996554,1.5408742,4.687,0.07688,0.120170005,0.15235,-0.041,0.323,Financial Services
MPC,18.721573,12.489047,3.1015298,0.4009497,11.009,0.18887,0.02158,0.049689997,-0.008,1.412,Energy
EA,59.15942,22.043228,8.481902,7.004207,33.084,0.13201,0.121429995,0.10875,-0.092,-0.514,Communication Services
IP,,20.404322,1.3211803,0.94046104,15.817,-0.042779997,-0.05256,-0.03375,0.564,,Consumer Cyclical
OTIS,26.628317,20.142136,-6.4881763,2.475803,16.908,,0.09413,0.16992001,0.04,-0.291,Industrials
MNST,43.94318,34.443752,9.755298,9.474567,29.362,0.25538,0.21654,0.30738002,0.168,0.395,Consumer Defensive
HLT,43.656975,32.87121,-14.192694,14.505707,29.638,,0.34188998,0.60327,0.035,0.29,Consumer Cyclical
CMG,35.495575,32.968933,16.506172,4.5627446,24.181,0.44958,0.13036,0.16134001,0.075,0.022,Consumer Cyclical
SJM,,10.1711445,1.7708058,1.2231928,10.206,-0.17438,-0.13608,0.19118999,0.026,,Consumer Defensive
NVR,16.666674,18.455114,5.4680343,1.9795586,10.788,0.348,0.13545,0.17104,-0.049,-0.139,Consumer Cyclical
CBRE,40.95545,22.466724,5.682201,1.2521231,21.618,0.14091,0.031229999,0.04923,0.135,0.658,Real Estate
RTX,38.786007,27.974083,3.9175344,2.9391952,20.008,0.10702,0.07666,0.12399,0.119,0.294,Industrials
TJX,34.836643,30.55645,18.72449,2.977888,23.265,0.58396,0.086789995,0.12489,0.075,0.123,Consumer Cyclical
PM,23.196861,19.50443,-23.193552,6.329391,16.767,,0.21574,0.40747002,0.094,0.131,Consumer Defensive
DASH,108.86868,35.28888,9.7826185,7.3530707,90.042,0.100430004,0.0683,0.08009,0.273,0.459,Consumer Cyclical
TMO,35.710327,25.101524,4.557411,5.3162313,24.438,0.13116999,0.15022,0.19277,0.049,0.005,Healthcare
TRV,11.100787,10.568429,1.9892199,1.3114357,7.734,0.19809,0.121350005,0.19687,0.048,0.52,Financial Services
ALL,6.8832307,8.805811,2.1800008,0.8365268,5.557,0.34469002,0.12533,0.24439,0.038,2.222,Financial Services
ADI,65.849014,26.737236,4.3575153,13.371644,30.566,0.06573,0.20575,0.30501,0.259,0.661,Technology
ABNB,33.08076,28.847746,9.834758,7.1394176,27.179,0.30776,0.2203,0.39683,0.097,0.038,Consumer Cyclical
AXP,25.259583,21.576775,7.983379,4.0031295,,0.33935001,0.16143999,0.22052999,0.122,0.186,Financial Services
ARE,,-674.625,0.5525015,3.0497594,13.877,-0.01084,-0.13436,0.19073,-0.05,,Real Estate
PANW,118.8805,43.580513,15.095033,13.786108,92.561,0.15324001,0.11687,0.12005,0.157,-0.041,Technology
KMI,22.229507,19.6043,1.9627994,3.6754081,13.74,0.08884,0.16612,0.25639,0.121,0.003,Energy
FICO,62.89766,32.357666,-22.671686,20.081085,44.646,,0.32747,0.48099998,0.136,0.179,Technology
FCX,39.531467,23.36047,4.3414483,3.1218045,10.235,0.14538999,0.07969,0.28055,0.027,0.278,Basic Materials
REGN,19.083612,17.587433,2.6450624,5.925427,17.476,0.15188,0.32131,0.29563,0.009,0.18,Healthcare
DAL,10.198871,9.958958,2.4919016,0.750409,8.126,0.28514,0.07357,0.0992,0.064,0.102,Industrials
WTW,15.794357,17.19047,4.100928,3.285021,13.557,0.27633,0.21576001,0.18881,-0.0,,Financial Services
NDSN,30.659622,21.752562,4.799456,5.2234435,18.738,0.16215,0.17354,0.2916,0.01,0.267,Industrials
ETR,23.034483,21.254398,2.506701,3.2808785,12.536,0.11188,0.1421,0.30055,0.125,0.02,Utilities
MGM,172.25,15.06057,3.5045779,0.54530406,17.023,0.10293,0.00403,0.051620003,0.016,,Consumer Cyclical
BR,28.56266,21.746601,9.89194,3.6952589,16.781,0.38215,0.13112001,0.118719995,0.117,1.059,Technology
BF.B,,,,,,,,,,,Unknown
PPL,23.530611,17.727552,1.7748473,2.8497136,12.726,0.076620005,0.12162,0.26619,0.084,0.489,Utilities
CHTR,5.841609,4.909389,1.7765461,0.5220548,5.819,0.31327,0.092939995,0.23858999,-0.009,-0.054,Communication Services
CEG,39.234825,29.397602,7.4537024,4.9954348,18.895,0.19839,0.11026,0.16332,0.003,-0.223,Utilities
VMC,36.747643,31.641108,4.709527,5.2237487,19.696,0.13520999,0.14189,0.23622,0.144,0.808,Basic Materials
USB,12.633867,11.240828,1.5199735,3.3028572,,0.1172,0.27632,0.39486,0.072,0.185,Financial Services
ELV,15.198939,13.868936,1.8834174,0.43092713,8.838,0.12569,0.028399998,0.034649998,0.123,0.22,Healthcare
TSN,43.631577,13.250885,1.1326905,0.37633196,10.288,0.0276,0.00871,-0.0049799997,0.022,-0.87,Consumer Defensive
BAC,15.2595625,12.838106,1.4716344,4.1621723,,0.09871,0.29224002,0.35292998,0.126,0.315,Financial Services
TKO,76.194664,49.42793,4.1226277,6.442381,23.328,0.08129,0.08989,0.15632,-0.273,0.65,Communication Services
GL,10.301161,9.446625,2.0038114,1.9354489,8.682,0.22277,0.19363001,0.34092999,0.04,0.375,Financial Services
BKR,17.231035,18.96114,2.714728,1.779405,11.248,0.1689,0.104329996,0.13524,0.015,-0.208,Energy
KVUE,22.44,15.235456,3.031886,2.1487856,11.356,0.13469,0.0955,0.19288,-0.035,0.038,Consumer Defensive
LLY,52.084232,32.34483,40.04368,16.045755,34.287,0.9647,0.30986,0.48294,0.539,4.804,Healthcare
CTRA,11.49074,10.078696,1.2884136,2.841454,5.202,0.118549995,0.24691999,0.28043,0.349,0.235,Energy
AVGO,72.47269,24.49417,5.8251295,25.601408,4.89,0.31048,0.36198002,0.31765,0.164,1.881,Technology
COP,13.772599,16.222197,1.8559546,1.9873427,5.417,0.15421,0.14445,0.19543,0.14,-0.216,Energy
JKHY,28.74772,27.740585,6.3139625,5.682141,20.827,0.2345,0.19865,0.28549,0.073,0.209,Technology
DG,24.610346,20.099442,3.8381288,0.7459998,14.832,0.16450001,0.03033,0.03999,0.046,0.438,Consumer Defensive
MAA,28.792374,40.68862,2.7347364,7.4032187,17.183,0.09408,0.25233,0.27229,0.006,-0.139,Real Estate
WM,34.84385,26.439379,9.349501,3.59092,15.416,0.29328,0.10345,0.18872999,0.149,-0.207,Industrials
ZBH,23.039701,10.953645,1.4426214,2.297015,9.597,0.06421,0.100530006,0.17003,0.097,-0.057,Healthcare
PSA,28.913721,27.216188,9.835572,10.177932,18.641,0.19933,0.39453998,0.46947,0.031,0.213,Real Estate
DUK,18.393702,17.429897,1.7998027,2.9078896,11.405,0.09905,0.15972,0.27125,0.048,0.127,Utilities
AMAT,34.73818,25.694378,11.699037,8.457868,26.525,0.35508,0.24669,0.28441,-0.035,0.133,Technology
TSCO,24.884058,22.118782,10.59005,1.7674923,16.591,0.45459,0.07176,0.09215,0.072,0.088,Consumer Cyclical
FFIV,22.822882,16.625378,4.3248754,5.065981,16.476,0.20602,0.22421,0.27135,0.085,0.164,Technology
GD,22.935192,20.532871,3.9064157,1.8558491,16.475,0.17782,0.081829995,0.10459,0.106,0.158,Industrials
EMR,35.870647,20.269861,4.001332,4.5006638,18.501,0.09363,0.12728,0.20721,0.051,-0.353,Industrials
CME,25.455868,22.519335,3.3501835,14.821684,21.325,0.13346,0.58946997,0.63386,-0.03,-0.004,Financial Services
OMC,11.663716,8.2116,3.3080945,1.5620737,7.68,0.27007,0.08307,0.15593,0.04,-0.103,Communication Services
BLDR,23.65465,19.61602,3.1929717,0.88065714,11.596,0.13555999,0.03795,0.05805,-0.069,-0.549,Industrials
TXN,34.7281,31.1084,10.404002,10.020728,23.26,0.29757,0.29208001,0.36736,0.142,0.007,Technology
HST,17.396229,20.93813,1.9037787,2.1588016,11.19,0.109239995,0.12403,0.073520005,0.009,0.966,Real Estate
ULTA,25.57313,23.448942,11.259507,2.492925,17.153,0.47967,0.09932,0.10828,0.129,0.0,Consumer Cyclical
BEN,28.197802,9.189162,1.1067978,1.5254066,9.26,0.03818,0.05985,0.17558001,0.06,,Financial Services
RSG,31.533432,29.04084,5.5418606,4.0151763,15.333,0.18249,0.12768,0.19919,0.033,-0.022,Industrials
KMB,16.568527,12.801991,24.394619,1.6476868,10.065,1.3688201,0.09983,0.16699,0.001,-0.502,Consumer Defensive
F,12.136752,9.608228,1.1938792,0.298436,19.398,0.10295,0.024820002,0.03146,0.094,1.727,Consumer Cyclical
SWKS,19.535715,11.942094,1.5541378,2.2073703,9.003,0.0789,0.116739996,0.10235,0.073,1.545,Technology
COIN,20.792746,35.024788,4.0383067,8.8092785,26.231,0.26005,0.43664002,0.25254,0.589,4.306,Financial Services
HBAN,12.755245,10.600398,1.3639423,3.8289003,,0.10434,0.29619,0.38561,0.148,0.242,Financial Services
KEYS,41.294823,22.366562,6.0370436,6.626547,30.085,0.1582,0.15814,0.15292,0.103,,Technology
PH,32.787113,27.742542,8.435596,5.8185635,24.215,0.27294,0.18178,0.21086,0.037,0.178,Industrials
ANET,46.726234,36.575603,12.995981,18.317616,39.401,0.31736,0.3973,0.42378,0.275,0.155,Technology
PRU,16.175343,7.896965,1.2874244,0.7215081,16.368,0.085,0.04538,0.09917,-0.083,2.234,Financial Services
MKC,23.51389,21.10249,3.1591713,2.6774702,17.385,0.1385,0.11462,0.17091,0.027,0.011,Consumer Defensive
WST,40.817776,35.53139,6.491835,6.5680923,24.328,0.16945,0.16293,0.21849,0.077,0.038,Healthcare
PPG,19.214668,13.264407,3.090135,1.5450884,11.476,0.1616,0.06348,0.1416,0.012,-0.001,Basic Materials
MTCH,15.056074,8.600142,-34.38634,2.234657,10.146,,0.16202,0.30826,0.021,0.233,Communication Services
TPL,45.264153,4.26518,15.716877,27.835196,32.64,0.3937,0.61676997,0.73521006,0.17,0.138,Energy
PNW,18.364948,19.0016,1.4872762,2.008755,12.281,0.087749995,0.11198,0.32109,0.029,0.006,Utilities
HUM,25.898037,22.66522,1.7977273,0.2635096,6.263,0.07159,0.01022,0.02043,0.111,-0.593,Healthcare
TROW,11.689542,10.385013,2.169939,3.2723093,7.644,0.1867,0.28892002,0.35474,0.06,0.087,Financial Services
APH,46.72,34.694016,13.698201,8.180019,29.002,0.34807998,0.18218,0.27481002,0.534,1.021,Technology
HCA,18.247778,15.940104,-20.338202,1.485254,10.341,,0.0853,0.15474,0.096,0.426,Healthcare
LRCX,48.309734,38.038235,26.974674,14.054817,39.662,0.62261003,0.29657,0.34354,0.277,0.443,Technology
UPS,16.7017,15.121027,5.791307,1.0245136,9.834,0.33618,0.061490003,0.10175,-0.037,-0.141,Industrials
ED,17.344406,16.460707,1.4819186,2.1580439,10.475,0.08839,0.122700006,0.25342,0.107,0.124,Utilities
BRO,24.436363,17.330158,2.1940467,5.1462007,18.542,0.10695,0.18691999,0.27355,0.342,-0.161,Financial Services
NI,22.121052,20.398355,2.1993718,3.1436145,13.75,0.09073,0.14155,0.22873,0.183,0.057,Utilities
VTR,141.32077,132.56638,2.8443398,6.346085,22.829,0.021559998,0.042930003,0.15584,0.218,2.016,Real Estate
XEL,22.640245,18.040956,2.0735488,3.0874152,13.776,0.09449001,0.13459,0.26615998,0.074,-0.272,Utilities
WRB,14.378151,14.794,2.6532276,1.7748486,9.718,0.20887,0.13007,0.17723,0.108,0.407,Financial Services
MOS,6.73057,10.170367,0.6452094,0.6932773,5.707,0.101169996,0.10334,0.11958,0.228,2.395,Basic Materials
LMT,30.212576,18.717854,20.202425,1.7280787,19.891,0.62776,0.05726,0.11693,0.088,0.022,Industrials
HD,25.572699,24.81847,30.7662,2.2441823,17.089,1.62909,0.087740004,0.12945,0.028,-0.014,Consumer Cyclical
MSFT,34.136753,25.564817,9.813268,12.125331,21.513,0.32241002,0.35707,0.48873,0.184,0.127,Technology
MU,32.77208,8.601251,6.607628,9.179476,17.567,0.22554001,0.28146,0.44974998,0.567,1.754,Technology
IBKR,34.04348,29.735056,6.145997,19.979084,,0.23249,0.15293999,0.79225,0.232,0.405,Financial Services
NVDA,45.6358,24.364536,37.78107,24.045563,39.419,1.07359,0.53007,0.63168997,0.625,0.667,Technology
GRMN,26.171394,24.341461,4.816311,5.8845034,19.563,0.19655001,0.22625999,0.25795,0.117,0.005,Technology
EBAY,20.157427,15.575182,8.746392,3.877718,16.373,0.42430001,0.20366,0.21418,0.095,0.054,Consumer Cyclical
SLB,17.58755,15.322761,2.6340327,1.9157755,10.157,0.15182,0.10341,0.15479,-0.025,-0.398,Energy
SW,29.438354,14.1961565,1.2141587,0.72077745,8.001,0.04099,0.02402,0.07672,0.043,,Consumer Cyclical
PLD,37.616276,44.910126,2.285815,13.207495,24.731,0.05963,0.35243,0.42720002,0.087,-0.243,Real Estate
GEHC,18.070393,17.716251,3.9784849,1.9682276,12.886,0.24450001,0.10945,0.14213,0.058,-0.041,Healthcare
EG,24.808636,6.022713,0.91015124,0.79121166,,0.03595,0.031229999,0.07728,-0.009,-0.484,Financial Services
ALB,,120.74232,2.4459002,3.8378167,33.469,0.00209,-0.00428,-0.02244,-0.035,,Basic Materials
CMCSA,4.7126245,7.2724943,1.0679466,0.9067386,5.092,0.24186,0.18333,0.17735,-0.027,-0.042,Communication Services
INCY,18.11356,13.887373,4.5064306,4.359142,13.662,0.30389,0.24695,0.31633,0.2,2.907,Healthcare
MS,19.129364,17.517206,2.9582586,4.3400064,,0.15135,0.23606001,0.38872,0.191,0.489,Financial Services
O,54.364483,36.26129,1.3702857,9.530345,16.298,0.02488,0.17135,0.44514,0.103,0.152,Real Estate
HUBB,29.408125,23.81907,6.7927938,4.3977,19.614,0.24991,0.15123,0.22591,0.041,0.141,Industrials
VRTX,32.689217,22.952072,6.8017654,10.144701,24.033,0.22307,0.31349,0.40268,0.11,0.047,Healthcare
XYZ,13.993965,21.29099,1.88263,1.7684568,24.883,0.14692001,0.13081001,0.06871,0.023,0.644,Technology
DHI,13.582038,11.872411,1.9145931,1.3411604,10.386,0.14321,0.10468,0.124680005,-0.032,-0.222,Consumer Cyclical
WSM,21.920704,21.74856,11.588262,3.0032637,14.335,0.56918997,0.14297,0.16950001,0.046,0.048,Consumer Cyclical
CSX,22.857143,18.631634,5.1394367,4.6465025,12.961,0.22589001,0.20548001,0.35071,-0.009,-0.196,Industrials
HSY,28.261585,27.11801,8.399378,3.3371284,17.514,0.31013,0.118360005,0.13542,0.065,-0.382,Consumer Defensive
SOLV,9.889782,13.557625,2.9963825,1.77824,14.643,0.37271,0.18139,0.07824,0.007,9.314,Healthcare
CMS,20.170029,18.162048,2.4650443,2.5677326,13.304,0.11233,0.12622,0.26174998,0.16,0.092,Utilities
HSIC,24.492113,14.688105,2.7389143,0.7277229,13.832,0.08347999,0.03022,0.0614,0.052,0.077,Healthcare
MSI,30.7743,23.477768,27.447527,5.6424127,21.786,1.1517,0.18704,0.26554,0.078,0.012,Technology
ERIE,22.62258,20.02284,6.3530746,3.6304884,17.339,0.30444,0.16038,0.20115,0.067,0.144,Financial Services
SWK,28.396551,14.586141,1.4204644,0.8409946,13.091,0.04918,0.02892,0.09042,0.001,-0.434,Industrials
STLD,22.419868,12.511457,2.7503455,1.4129735,14.327,0.12550999,0.0639,0.10516,0.112,0.337,Basic Materials
ALLE,22.014885,18.313005,7.1900826,3.5169835,16.591,0.36411,0.16092,0.21856001,0.107,0.095,Industrials
BBY,23.30363,10.458618,5.5893292,0.35469815,6.832,0.22493,0.015420001,0.039809998,0.024,-0.476,Consumer Cyclical
PHM,10.200617,12.2553215,2.0116558,1.4800397,7.558,0.21569,0.14926,0.17336,-0.016,-0.116,Consumer Cyclical
KEY,26.160494,11.75042,1.3397825,3.902758,,0.058179997,0.18115999,0.33839,2.026,,Financial Services
BAX,,9.278505,1.4954929,0.9825961,9.06,-0.04658,-0.030940002,0.10123,0.05,,Healthcare
LYB,,14.2523575,1.4790636,0.41501483,10.926,-0.10584,-0.03198,0.06044,-0.102,,Basic Materials
HWM,61.3118,49.066086,17.288713,11.016135,40.313,0.30064,0.18181999,0.25658,0.138,0.173,Industrials
HPE,,8.071857,1.1838522,0.86268365,10.84,0.0023,0.00166,0.034089997,0.144,-0.889,Technology
WMB,31.253887,26.643581,5.903886,6.3602076,16.514,0.16902,0.20462999,0.39554,0.083,-0.085,Energy
AMD,106.37173,31.294477,5.441082,10.327824,54.079,0.05317,0.10323,0.13736,0.356,0.603,Technology
KIM,24.590363,26.427212,1.3180498,6.5102124,17.094,0.056700002,0.28243,0.34331,0.056,0.002,Real Estate
ACN,23.195868,18.862385,5.5952716,2.460983,13.83,0.25016,0.107609995,0.16974,0.06,-0.016,Technology
CRL,,20.198078,3.1925719,2.7020352,15.077,-0.021879999,-0.020450002,0.15035,-0.005,-0.173,Healthcare
EFX,42.903595,25.92913,5.6344185,4.7046046,17.527,0.13066,0.1108,0.19950001,0.072,0.142,Industrials
FITB,14.707463,12.168046,1.6841567,4.0086055,,0.115109995,0.29674,0.39780998,0.067,0.167,Financial Services
NUE,23.001406,13.971499,1.8045288,1.1755538,10.749,0.09014,0.05185,0.10421,0.145,1.505,Basic Materials
ACGL,8.920338,10.206676,1.5210061,1.8176898,6.874,0.17811,0.20959,0.30691,0.082,0.391,Financial Services
NEE,25.361904,19.912167,3.0708025,6.3269453,18.514,0.08236,0.24729,0.30768,0.053,0.311,Utilities
PLTR,412.76746,175.64226,64.19168,108.57762,476.06,0.19504,0.28114,0.33296,0.628,2.0,Technology
WFC,15.807248,13.805874,1.836223,3.8872187,,0.115200005,0.26629,0.33717,0.075,0.169,Financial Services
ADM,25.178862,14.622423,1.321725,0.357723,15.084,0.05242,0.01429,0.01949,0.022,4.891,Consumer Defensive
STE,36.741062,23.065372,3.5944521,4.4357276,17.357,0.101339996,0.12073,0.18372999,0.099,0.286,Healthcare
STT,14.058325,11.453904,1.5535245,2.760127,,0.111499995,0.21877001,0.32749,0.094,0.23,Financial Services
