Ticker,PER,Forward_PER,PBR,PSR,EV_EBITDA,ROE,Profit_Margin,Oper_Margin,Rev_Growth,EPS_Growth,Sector
VZ,8.626865,8.4410715,1.6240517,1.2407835,6.762,0.19875,0.14428,0.23932,0.015,0.5,Communication Services
EXR,31.14094,29.001572,2.16961,9.014368,19.452,0.06786,0.27735,0.46325,0.034,-0.142,Real Estate
CSGP,974.8334,43.546562,2.8750494,8.110386,152.054,0.00252,0.00664,-0.061300002,0.204,,Real Estate
TXT,20.531729,13.704113,2.2056887,1.1744752,12.221,0.11465,0.05809,0.09495,0.051,0.105,Industrials
OXY,31.514706,32.426952,1.5094206,1.5873883,5.652,0.05955,0.08169,0.17723,-0.077,-0.334,Energy
COO,44.625668,16.880615,1.9842119,4.0540032,17.881,0.045939997,0.09161,0.13539,0.046,-0.282,Healthcare
LHX,36.104298,27.060177,3.2175436,2.8896422,18.227,0.091309994,0.08091,0.12882,0.069,0.171,Industrials
SHW,34.466343,28.374628,19.675856,3.7844126,23.314,0.59939,0.110489994,0.18197,0.032,0.053,Basic Materials
ALGN,33.42166,15.726767,3.1454108,3.1448927,14.2,0.095769994,0.095010005,0.15673,0.018,-0.497,Healthcare
MCO,42.733925,32.336765,23.966908,12.711484,27.994,0.54914004,0.29916,0.46886003,0.107,0.229,Financial Services
AVB,21.87439,34.99663,2.1249096,8.33089,18.388,0.09754,0.38122,0.2928,0.044,0.024,Real Estate
UBER,44.041237,20.113895,6.3162565,3.591578,34.55,0.72994006,0.33542,0.082650006,0.204,1.585,Technology
WELL,128.33102,85.357796,3.2845569,12.88997,37.214,0.0275,0.09693,0.19906001,0.306,-0.437,Real Estate
ECL,39.041668,32.02343,11.583682,4.85006,21.879,0.21869,0.12489,0.14715,0.178,,Basic Materials
ODFL,34.835014,33.986443,8.504691,6.5268016,20.689,0.25059,0.18967,0.25655,-0.043,-0.105,Industrials
VLO,38.43983,15.101057,2.3790753,0.4938316,10.446,0.052389998,0.01283,0.05527,-0.032,2.096,Energy
J,54.244186,17.524658,4.577419,1.3814833,15.114,0.06523,0.02405,0.105170004,,-0.634,Industrials
ISRG,77.544975,60.096912,12.289373,21.863634,59.504,0.16902,0.28577998,0.30326,0.229,0.25,Healthcare
HON,21.875528,19.66252,7.845496,3.4361224,16.107,0.34616002,0.1507,0.18505,0.07,0.324,Industrials
BXP,,33.21493,2.1537879,3.5110483,15.644,-0.01883,-0.058509998,0.28563,0.018,,Real Estate
DVN,8.433962,8.8012705,1.4653336,1.3712968,3.891,0.18586999,0.16424999,0.24194999,0.071,-0.162,Energy
AVY,21.360544,18.06657,6.607744,1.6604848,12.368,0.30211002,0.07932,0.12687999,0.015,-0.053,Consumer Cyclical
CAG,,9.350025,1.0015965,0.721312,8.654,-0.0116,-0.008719999,0.11413,-0.068,,Consumer Defensive
AMCR,28.83333,9.710154,1.7014161,1.1474807,13.996,0.07467,0.03345,0.09713,0.713,-0.144,Consumer Cyclical
GPC,22.0895,15.275115,3.729838,0.7420105,12.346,0.16994,0.0336,0.0643,0.049,0.0,Consumer Cyclical
ATO,22.356567,19.224207,1.987369,5.736283,15.531,0.09323,0.2549,0.30696,0.121,0.256,Utilities
CDW,16.8548,12.630573,6.8488026,0.7916748,11.678,0.43007,0.04757,0.07953,0.04,-0.056,Technology
MLM,34.240883,30.030586,4.129931,5.824274,19.8,0.12523,0.16688,0.27898002,0.124,0.157,Basic Materials
RMD,25.84135,20.989561,6.0193596,7.0095696,18.734,0.25413,0.2735,0.34618,0.091,0.123,Healthcare
CRWD,,97.35234,29.534956,25.9881,-1222.497,-0.088149995,-0.06882,-0.05589,0.222,,Technology
CLX,16.67033,15.735628,-586.6851,1.9130256,13.082,4.43646,0.11682,0.08328,-0.189,-0.187,Consumer Defensive
EXE,32.678455,11.281668,1.3335171,2.2455873,6.328,0.061189998,0.08043,0.29054,3.193,,Energy
